time,current,setpoint
1702972435.6061664,0.5,8.5
1702972435.6062217,0.5,8.5
1702972435.6085622,0.5,8.5
1702972435.6086137,0.5,8.5
1702972435.6106439,0.5,8.5
1702972435.6106744,0.5,8.5
1702972435.6245694,0.5,8.5
1702972435.624625,0.5,8.5
1702972435.627863,0.5,8.5
1702972435.6278994,0.5,8.5
1702972435.629913,0.5,8.5
1702972435.6299434,0.5,8.5
1702972435.631871,0.5,8.5
1702972435.631893,0.5,8.5
1702972435.6338513,0.5,8.5
1702972435.6338825,0.5,8.5
1702972435.635908,0.5,8.5
1702972435.6359541,0.5,8.5
1702972435.6384726,0.5,8.5
1702972435.6385128,0.5,8.5
1702972435.6405485,0.5,8.5
1702972435.64058,0.5,8.5
1702972435.6425052,0.5,8.5
1702972435.6425283,0.5,8.5
1702972435.6443794,0.5,8.5
1702972435.6444042,0.5,8.5
1702972435.6463726,0.5,8.5
1702972435.6463969,0.5,8.5
1702972435.6484063,0.5,8.5
1702972435.6484308,0.5,8.5
1702972435.6503928,0.5,8.5
1702972435.6504178,0.5,8.5
1702972435.6523402,0.5,8.5
1702972435.6523647,0.5,8.5
1702972435.6543462,0.5,8.5
1702972435.6543782,0.5,8.5
1702972435.6561656,0.5,8.5
1702972435.6561925,0.5,8.5
1702972435.6575947,0.5,8.5
1702972435.6576412,0.5,8.5
1702972435.6589231,0.5,8.5
1702972435.6589565,0.5,8.5
1702972435.6609495,0.5,8.5
1702972435.6609747,0.5,8.5
1702972435.6629174,0.5,8.5
1702972435.6629393,0.5,8.5
1702972435.6648984,0.5,8.5
1702972435.6649253,0.5,8.5
1702972435.666867,0.5,8.5
1702972435.666892,0.5,8.5
1702972435.6688588,0.5,8.5
1702972435.668883,0.5,8.5
1702972435.670952,0.5,8.5
1702972435.6709948,0.5,8.5
1702972435.6730845,0.5,8.5
1702972435.6731362,0.5,8.5
1702972435.6754403,0.5,8.5
1702972435.6754806,0.5,8.5
1702972435.677457,0.5,8.5
1702972435.6774807,0.5,8.5
1702972435.679806,0.5,8.5
1702972435.6798286,0.5,8.5
1702972435.681778,0.5,8.5
1702972435.6818008,0.5,8.5
1702972435.6837132,0.5,8.5
1702972435.6837351,0.5,8.5
1702972435.6856706,0.5,8.5
1702972435.6856933,0.5,8.5
1702972435.687821,0.5,8.5
1702972435.6878574,0.5,8.5
1702972435.6902735,0.5,8.5
1702972435.6903355,0.5,8.5
1702972435.6924298,0.5,8.5
1702972435.6924849,0.5,8.5
1702972435.6944268,0.5,8.5
1702972435.6944537,0.5,8.5
1702972435.6963968,0.5,8.5
1702972435.6964214,0.5,8.5
1702972435.6983857,0.5,8.5
1702972435.6984081,0.5,8.5
1702972435.7005205,0.5,8.5
1702972435.700544,0.5,8.5
1702972435.702476,0.5,8.5
1702972435.7024977,0.5,8.5
1702972435.7046459,0.5,8.5
1702972435.7046835,0.5,8.5
1702972435.7065835,0.5,8.5
1702972435.7066174,0.5,8.5
1702972435.7078376,0.5,8.5
1702972435.7078657,0.5,8.5
1702972435.7089028,0.5,8.5
1702972435.7089164,0.5,8.5
1702972435.7100985,0.5,8.5
1702972435.7101111,0.5,8.5
1702972435.711306,0.5,8.5
1702972435.7113183,0.5,8.5
1702972435.712484,0.5,8.5
1702972435.7124977,0.5,8.5
1702972435.7135935,0.5,8.5
1702972435.7136035,0.5,8.5
1702972435.7145176,0.5,8.5
1702972435.7145278,0.5,8.5
1702972435.715483,0.5,8.5
1702972435.715494,0.5,8.5
1702972435.7164912,0.5,8.5
1702972435.7165027,0.5,8.5
1702972435.7172892,0.5,8.5
1702972435.7172973,0.5,8.5
1702972435.71803,0.5,8.5
1702972435.7180383,0.5,8.5
1702972435.7187624,0.5,8.5
1702972435.7187705,0.5,8.5
1702972435.7195263,0.5,8.5
1702972435.71954,0.5,8.5
1702972435.7203686,0.5,8.5
1702972435.7203794,0.5,8.5
1702972435.721271,0.5,8.5
1702972435.7212934,0.5,8.5
1702972435.722252,0.5,8.5
1702972435.7222779,0.5,8.5
1702972435.7234573,0.5,8.5
1702972435.7234998,0.5,8.5
1702972435.72461,0.5,8.5
1702972435.7246375,0.5,8.5
1702972435.7254367,0.5,8.5
1702972435.725446,0.5,8.5
1702972435.7262716,0.5,8.5
1702972435.7262847,0.5,8.5
1702972435.7271795,0.5,8.5
1702972435.7271934,0.5,8.5
1702972435.727972,0.5,8.5
1702972435.727981,0.5,8.5
1702972435.7287564,0.5,8.5
1702972435.7287652,0.5,8.5
1702972435.729525,0.5,8.5
1702972435.7295346,0.5,8.5
1702972435.730663,0.5,8.5
1702972435.730672,0.5,8.5
1702972435.731431,0.5,8.5
1702972435.731439,0.5,8.5
1702972435.7321994,0.5,8.5
1702972435.7322075,0.5,8.5
1702972435.7329974,0.5,8.5
1702972435.7330062,0.5,8.5
1702972435.7337618,0.5,8.5
1702972435.7337701,0.5,8.5
1702972435.7345278,0.5,8.5
1702972435.7345362,0.5,8.5
1702972435.7352946,0.5,8.5
1702972435.7353027,0.5,8.5
1702972435.7360656,0.5,8.5
1702972435.7360737,0.5,8.5
1702972435.7415943,0.5,8.5
1702972435.7416177,0.5,8.5
1702972435.7423701,0.5,8.5
1702972435.742379,0.5,8.5
1702972435.7431934,0.5,8.5
1702972435.7432022,0.5,8.5
1702972435.744023,0.5,8.5
1702972435.7440307,0.5,8.5
1702972435.7447698,0.5,8.5
1702972435.744778,0.5,8.5
1702972435.7455184,0.5,8.5
1702972435.7455263,0.5,8.5
1702972435.7462494,0.5,8.5
1702972435.746257,0.5,8.5
1702972435.7542205,0.5,8.5
1702972435.7542462,0.5,8.5
1702972435.755097,0.5,8.5
1702972435.755108,0.5,8.5
1702972435.7564216,0.5,8.5
1702972435.7564542,0.5,8.5
1702972435.7582245,0.5,8.5
1702972435.758253,0.5,8.5
1702972435.7591124,0.5,8.5
1702972435.7591214,0.5,8.5
1702972435.7598848,0.5,8.5
1702972435.7598932,0.5,8.5
1702972435.7606735,0.5,8.5
1702972435.7606819,0.5,8.5
1702972435.7662396,0.5,8.5
1702972435.7662494,0.5,8.5
1702972435.7669775,0.5,8.5
1702972435.7669852,0.5,8.5
1702972435.76772,0.5,8.5
1702972435.767728,0.5,8.5
1702972435.7684832,0.5,8.5
1702972435.7684922,0.5,8.5
1702972435.7692883,0.5,8.5
1702972435.769297,0.5,8.5
1702972435.7701063,0.5,8.5
1702972435.7701175,0.5,8.5
1702972435.8153615,0.5,8.5
1702972435.8153908,0.5,8.5
1702972435.8163948,0.5,8.5
1702972435.8164058,0.5,8.5
1702972435.8173287,0.5,8.5
1702972435.8173423,0.5,8.5
1702972435.8182411,0.5,8.5
1702972435.818253,0.5,8.5
1702972435.8192344,0.5,8.5
1702972435.819248,0.5,8.5
1702972435.820262,0.5,8.5
1702972435.8202798,0.5,8.5
1702972435.821289,0.5,8.5
1702972435.8213134,0.5,8.5
1702972435.822324,0.5,8.5
1702972435.8223472,0.5,8.5
1702972435.823376,0.5,8.5
1702972435.8234034,0.5,8.5
1702972435.8245084,0.5,8.5
1702972435.8245406,0.5,8.5
1702972435.825464,0.5,8.5
1702972435.825476,0.5,8.5
1702972435.826404,0.5,8.5
1702972435.8264139,0.5,8.5
1702972439.7220325,0.5,8.5
1702972439.7220721,0.5,8.5
